"","MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","BOROUGH_ID"
"19841","2020 / 12","Bronx","07",3950,427.3,589.9,NA,NA,NA,NA,2
"19842","2020 / 12","Queens","03",5214.1,504.2,637.7,NA,NA,NA,NA,4
"19843","2020 / 12","Brooklyn","17",4839.4,430.8,560.2,NA,NA,NA,NA,3
"19844","2020 / 12","Queens","01",4219.3,775.6,753.8,NA,NA,NA,NA,4
"19845","2020 / 12","Staten Island","03",6378.5,1053.5,863.3,NA,NA,NA,NA,5
"19846","2020 / 12","Queens","08",3871.2,549.1,474.1,NA,NA,NA,NA,4
"19847","2020 / 12","Brooklyn","05",5128.4,392.8,531.6,NA,NA,NA,NA,3
"19848","2020 / 12","Brooklyn","09",3272.2,355.9,316.9,NA,NA,NA,NA,3
"19849","2020 / 12","Queens","04",4227.9,456.7,697.9,NA,NA,NA,NA,4
"22587","2020 / 01","Brooklyn","03",3885.9,425.4,415.9,NA,NA,8.3,20.9,3
"22588","2020 / 01","Brooklyn","10",3221.2,528.5,502.9,67.9,NA,NA,38,3
"22589","2020 / 01","Brooklyn","17",4047.7,318.6,472.3,NA,NA,NA,7.1,3
"22590","2020 / 01","Bronx","05",3304.4,202.3,332.1,NA,NA,NA,3.8,2
"22591","2020 / 01","Manhattan","12",4654.9,506.7,612.3,30,43.5,NA,32,1
"22592","2020 / 01","Bronx","08",2250,346.8,406,60.4,NA,NA,21.6,2
"22593","2020 / 01","Manhattan","10",2608.2,315.7,317.2,18.4,32.7,NA,25.2,1
"22594","2020 / 01","Brooklyn","15",4310.6,606.8,519.6,56.5,NA,NA,7.5,3
"22595","2020 / 02","Manhattan","08",4690.8,1084.8,812.3,20.6,NA,NA,NA,1
"22596","2020 / 02","Queens","07",5371.4,694.6,661.4,91.2,NA,NA,NA,4
"22597","2020 / 02","Bronx","07",3240.4,250.2,420.8,NA,NA,NA,NA,2
"22598","2020 / 02","Bronx","08",1999.5,286.4,329.9,42.5,NA,NA,NA,2
"22599","2020 / 02","Brooklyn","06",1812,491.7,390.4,95.5,40.9,NA,NA,3
"22600","2020 / 03","Manhattan","06",2708.7,524,414.5,45.3,NA,NA,NA,1
"22601","2020 / 03","Brooklyn","14",4669.4,511,442.1,NA,43.3,NA,NA,3
"22602","2020 / 03","Queens","07",6163.7,788,785.1,104.6,NA,NA,NA,4
"22603","2020 / 03","Brooklyn","05",4355.6,240.4,407.4,NA,NA,NA,NA,3
"22604","2020 / 03","Manhattan","02",1722.4,455.9,339.9,NA,17.1,NA,NA,1
